b/h,300,400,500,600,601,700,800,900,901,1000,1100,1200,1201,1300,1400,1500,1600,1700,1800,1801,1900,2000,2100,2200,2300,2400,2500,2600,2700,2701,2800,2900,3000,3100,3200,3300,3400,3500,3600,3601,3700,3800,3900,4000,4100,4200,4300,4400,4500,4501,4600,4700,4800,4900,5000,5100,5200,5300,5400,5401,5500,5600,5700,5800,5900,6000,6100,6200,6300,6301,6400,6500,6600,6700,6800,6900,7000,7100,7200,7201,7300,7400,7500,7600,7700,7800,7900,8000,8100,8101,8200,8300,8400,8500,8600,8700,8800,8900,9000
500,99.72,101.59,103.45,105.31,133.48,135.33,137.19,139.05,179.45,181.30,183.16,185.02,266.35,268.19,270.06,271.92,273.78,275.64,277.50,399.22,401.06,402.92,404.78,406.65,408.51,410.37,412.23,414.09,415.95,537.67,539.51,541.37,543.24,545.10,546.96,548.82,550.68,552.54,554.40,676.12,677.96,679.83,681.69,683.55,685.41,687.27,689.13,690.99,692.86,814.57,816.42,818.28,820.14,822.00,823.86,825.72,827.58,829.45,831.31,953.02,954.87,956.73,958.59,960.45,962.31,964.17,966.04,967.90,969.76,1091.48,1093.32,1095.18,1097.04,1098.90,1100.77,1102.63,1104.49,1106.35,1108.21,1229.93,1231.77,1233.63,1235.49,1237.36,1239.22,1241.08,1242.94,1244.80,1246.66,1368.38,1370.22,1372.08,1373.95,1375.81,1377.67,1379.53,1381.39,1383.25,1385.11
600,101.12,103.10,105.08,107.06,135.36,137.32,139.30,141.28,182.56,184.52,186.50,188.48,270.09,272.05,274.03,276.01,278.00,279.98,281.96,404.83,406.79,408.77,410.75,412.73,414.71,416.69,418.67,420.65,422.63,545.51,547.47,549.45,551.43,553.41,555.39,557.37,559.35,561.33,563.31,686.19,688.15,690.13,692.11,694.09,696.07,698.05,700.03,702.01,703.99,826.87,828.83,830.81,832.79,834.77,836.75,838.73,840.71,842.69,844.67,967.55,969.51,971.49,973.47,975.45,977.43,979.41,981.39,983.37,985.35,1108.22,1110.18,1112.16,1114.14,1116.12,1118.10,1120.08,1122.06,1124.04,1126.02,1248.90,1250.86,1252.84,1254.82,1256.80,1258.78,1260.76,1262.74,1264.72,1266.70,1389.58,1391.54,1393.52,1395.50,1397.48,1399.46,1401.44,1403.42,1405.40,1407.38
700,102.52,104.62,106.72,108.82,137.23,139.31,141.41,143.50,185.66,187.74,189.84,191.94,273.84,275.92,278.01,280.11,282.21,284.31,286.41,410.45,412.52,414.62,416.72,418.82,420.92,423.02,425.12,427.22,429.31,553.35,555.43,557.53,559.63,561.73,563.82,565.92,568.02,570.12,572.22,696.26,698.33,700.43,702.53,704.63,706.73,708.83,710.93,713.03,715.12,839.16,841.24,843.34,845.44,847.54,849.63,851.73,853.83,855.93,858.03,982.07,984.14,986.24,988.34,990.44,992.54,994.64,996.74,998.84,1000.93,1124.97,1127.05,1129.15,1131.25,1133.35,1135.44,1137.54,1139.64,1141.74,1143.84,1267.88,1269.95,1272.05,1274.15,1276.25,1278.35,1280.45,1282.55,1284.65,1286.74,1410.78,1412.86,1414.96,1417.06,1419.16,1421.25,1423.35,1425.45,1427.55,1429.65
800,103.92,106.14,108.35,110.57,139.10,141.30,143.51,145.73,188.77,190.96,193.18,195.40,277.58,279.78,281.99,284.21,286.43,288.64,290.86,416.06,418.26,420.47,422.69,424.91,427.12,429.34,431.56,433.78,435.99,561.19,563.39,565.60,567.82,570.04,572.26,574.47,576.69,578.91,581.13,706.32,708.52,710.74,712.95,715.17,717.39,719.61,721.82,724.04,726.26,851.46,853.65,855.87,858.09,860.30,862.52,864.74,866.95,869.17,871.39,996.59,998.78,1001.00,1003.22,1005.43,1007.65,1009.87,1012.09,1014.30,1016.52,1141.72,1143.91,1146.13,1148.35,1150.57,1152.78,1155.00,1157.22,1159.44,1161.65,1286.85,1289.05,1291.26,1293.48,1295.70,1297.92,1300.13,1302.35,1304.57,1306.78,1431.98,1434.18,1436.39,1438.61,1440.83,1443.05,1445.26,1447.48,1449.70,1451.92
900,105.32,107.65,109.99,112.33,140.97,143.29,145.62,147.96,191.87,194.18,196.52,198.86,281.32,283.64,285.97,288.31,290.64,292.98,295.32,421.67,423.99,426.32,428.66,430.99,433.33,435.67,438.00,440.34,442.67,569.03,571.34,573.68,576.02,578.35,580.69,583.02,585.36,587.70,590.03,716.39,718.70,721.04,723.38,725.71,728.05,730.38,732.72,735.06,737.39,863.75,866.06,868.40,870.73,873.07,875.41,877.74,880.08,882.41,884.75,1011.11,1013.42,1015.76,1018.09,1020.43,1022.76,1025.10,1027.44,1029.77,1032.11,1158.47,1160.78,1163.11,1165.45,1167.79,1170.12,1172.46,1174.79,1177.13,1179.47,1305.82,1308.14,1310.47,1312.81,1315.15,1317.48,1319.82,1322.15,1324.49,1326.83,1453.18,1455.50,1457.83,1460.17,1462.50,1464.84,1467.18,1469.51,1471.85,1474.18
901,109.09,111.43,113.77,116.11,148.52,150.83,153.17,155.50,199.43,201.74,204.08,206.41,296.41,298.72,301.06,303.40,305.73,308.07,310.41,444.30,446.62,448.95,451.29,453.63,455.96,458.30,460.64,462.98,465.31,599.21,601.52,603.86,606.19,608.53,610.87,613.21,615.54,617.88,620.22,754.11,756.43,758.76,761.10,763.44,765.77,768.11,770.45,772.79,775.12,909.02,911.33,913.67,916.00,918.34,920.68,923.02,925.35,927.69,930.03,1063.92,1066.23,1068.57,1070.91,1073.25,1075.58,1077.92,1080.26,1082.60,1084.93,1218.83,1221.14,1223.48,1225.81,1228.15,1230.49,1232.83,1235.16,1237.50,1239.84,1373.73,1376.04,1378.38,1380.72,1383.06,1385.39,1387.73,1390.07,1392.40,1394.74,1528.64,1530.95,1533.29,1535.62,1537.96,1540.30,1542.64,1544.97,1547.31,1549.65
1000,110.48,112.93,115.39,117.84,150.37,152.80,155.25,157.71,202.50,204.93,207.38,209.84,300.11,302.54,305.00,307.45,309.91,312.36,314.82,449.86,452.29,454.74,457.20,459.65,462.11,464.56,467.02,469.47,471.93,606.97,609.40,611.85,614.31,616.76,619.22,621.67,624.13,626.58,629.04,764.08,766.51,768.96,771.42,773.87,776.33,778.78,781.24,783.69,786.15,921.19,923.62,926.07,928.53,930.98,933.44,935.89,938.35,940.80,943.25,1078.30,1080.73,1083.18,1085.64,1088.09,1090.55,1093.00,1095.45,1097.91,1100.36,1235.41,1237.84,1240.29,1242.75,1245.20,1247.65,1250.11,1252.56,1255.02,1257.47,1392.51,1394.95,1397.40,1399.85,1402.31,1404.76,1407.22,1409.67,1412.13,1414.58,1549.62,1552.05,1554.51,1556.96,1559.42,1561.87,1564.33,1566.78,1569.24,1571.69
1100,111.88,114.45,117.02,119.60,152.24,154.79,157.36,159.93,205.60,208.15,210.72,213.30,303.86,306.40,308.98,311.55,314.12,316.70,319.27,455.47,458.02,460.59,463.17,465.74,468.31,470.89,473.46,476.03,478.61,614.81,617.36,619.93,622.50,625.08,627.65,630.22,632.80,635.37,637.94,774.15,776.69,779.27,781.84,784.41,786.99,789.56,792.13,794.71,797.28,933.48,936.03,938.60,941.18,943.75,946.32,948.90,951.47,954.04,956.61,1092.82,1095.36,1097.94,1100.51,1103.08,1105.66,1108.23,1110.80,1113.38,1115.95,1252.15,1254.70,1257.27,1259.85,1262.42,1264.99,1267.57,1270.14,1272.71,1275.29,1411.49,1414.04,1416.61,1419.18,1421.76,1424.33,1426.90,1429.48,1432.05,1434.62,1570.83,1573.37,1575.95,1578.52,1581.09,1583.67,1586.24,1588.81,1591.39,1593.96
1200,113.28,115.97,118.66,121.35,154.11,156.78,159.47,162.16,208.71,211.37,214.06,216.76,307.60,310.26,312.96,315.65,318.34,321.03,323.72,461.09,463.75,466.44,469.14,471.83,474.52,477.21,479.90,482.60,485.29,622.65,625.31,628.01,630.70,633.39,636.08,638.77,641.47,644.16,646.85,784.21,786.88,789.57,792.26,794.95,797.64,800.34,803.03,805.72,808.41,945.78,948.44,951.13,953.82,956.52,959.21,961.90,964.59,967.28,969.98,1107.34,1110.00,1112.69,1115.39,1118.08,1120.77,1123.46,1126.15,1128.85,1131.54,1268.90,1271.57,1274.26,1276.95,1279.64,1282.33,1285.03,1287.72,1290.41,1293.10,1430.46,1433.13,1435.82,1438.51,1441.20,1443.90,1446.59,1449.28,1451.97,1454.66,1592.03,1594.69,1597.38,1600.08,1602.77,1605.46,1608.15,1610.84,1613.53,1616.23
